epic:0,drama_or_verse_miscellaneous:1
Filename,Genre
tesserae/texts/grc/aeschylus.agamemnon.tess,1
tesserae/texts/grc/aeschylus.eumenides.tess,1
tesserae/texts/grc/aeschylus.libation_bearers.tess,1
tesserae/texts/grc/aeschylus.persians.tess,1
tesserae/texts/grc/aeschylus.prometheus_bound.tess,1
tesserae/texts/grc/aeschylus.seven_against_thebes.tess,1
tesserae/texts/grc/aeschylus.suppliant_women.tess,1
tesserae/texts/grc/apollonius.argonautica.tess,0
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.1.tess,0
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.2.tess,0
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.3.tess,0
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.4.tess,0
tesserae/texts/grc/aristophanes.acharnians.tess,1
tesserae/texts/grc/aristophanes.birds.tess,1
tesserae/texts/grc/aristophanes.clouds.tess,1
tesserae/texts/grc/aristophanes.ecclesiazusae.tess,1
tesserae/texts/grc/aristophanes.frogs.tess,1
tesserae/texts/grc/aristophanes.knights.tess,1
tesserae/texts/grc/aristophanes.lysistrata.tess,1
tesserae/texts/grc/aristophanes.peace.tess,1
tesserae/texts/grc/aristophanes.plutus.tess,1
tesserae/texts/grc/aristophanes.thesmophoriazusae.tess,1
tesserae/texts/grc/aristophanes.wasps.tess,1
tesserae/texts/grc/bacchylides.dithyrambs.tess,1
tesserae/texts/grc/bacchylides.epinicians.tess,1
tesserae/texts/grc/bion_of_phlossa.epitaphius.tess,1
tesserae/texts/grc/bion_of_phlossa.epithalamium.tess,1
tesserae/texts/grc/bion_of_phlossa.fragmenta.tess,1
tesserae/texts/grc/callimachus.epigrams.tess,1
tesserae/texts/grc/callimachus.hymns.tess,1
tesserae/texts/grc/colluthus.rape_of_helen.tess,0
tesserae/texts/grc/euripides.alcestis.tess,1
tesserae/texts/grc/euripides.andromache.tess,1
tesserae/texts/grc/euripides.bacchae.tess,1
tesserae/texts/grc/euripides.cyclops.tess,1
tesserae/texts/grc/euripides.electra.tess,1
tesserae/texts/grc/euripides.hecuba.tess,1
tesserae/texts/grc/euripides.helen.tess,1
tesserae/texts/grc/euripides.heracleidae.tess,1
tesserae/texts/grc/euripides.heracles.tess,1
tesserae/texts/grc/euripides.hippolytus.tess,1
tesserae/texts/grc/euripides.ion.tess,1
tesserae/texts/grc/euripides.iphigenia_aulis.tess,1
tesserae/texts/grc/euripides.iphigenia_tauris.tess,1
tesserae/texts/grc/euripides.medea.tess,1
tesserae/texts/grc/euripides.orestes.tess,1
tesserae/texts/grc/euripides.phoenissae.tess,1
tesserae/texts/grc/euripides.rhesus.tess,1
tesserae/texts/grc/euripides.suppliants.tess,1
tesserae/texts/grc/euripides.trojan_women.tess,1
tesserae/texts/grc/homer.iliad.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.1.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.10.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.11.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.12.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.13.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.14.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.15.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.16.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.17.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.18.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.19.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.2.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.20.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.21.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.22.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.23.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.24.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.3.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.4.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.5.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.6.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.7.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.8.tess,0
tesserae/texts/grc/homer.iliad/homer.iliad.part.9.tess,0
tesserae/texts/grc/homer.odyssey.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.1.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.10.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.11.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.12.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.13.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.14.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.15.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.16.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.17.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.18.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.19.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.2.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.20.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.21.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.22.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.23.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.24.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.3.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.4.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.5.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.6.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.7.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.8.tess,0
tesserae/texts/grc/homer.odyssey/homer.odyssey.part.9.tess,0
tesserae/texts/grc/lucian.podagra.tess,1
tesserae/texts/grc/lycophron.alexandra.tess,1
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca.tess,0
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.1.books_1-10.tess,0
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.2.books_11-20.tess,0
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.3.books_21-30.tess,0
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.4.books_31-40.tess,0
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.5.books_41-48.tess,0
tesserae/texts/grc/oppian.halieutica.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.1.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.2.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.3.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.4.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.5.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.1.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.2.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.3.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.4.tess,0
tesserae/texts/grc/oppian_of_apamea.cynegetica.tess,0
tesserae/texts/grc/pindar.odes.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.1.isthmeans.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.2.nemeans.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.3.olympians.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.4.pythians.tess,1
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.1.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.10.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.11.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.12.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.13.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.14.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.2.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.3.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.4.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.5.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.6.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.7.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.8.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.9.tess,0
tesserae/texts/grc/sophocles.ajax.tess,1
tesserae/texts/grc/sophocles.antigone.tess,1
tesserae/texts/grc/sophocles.electra.tess,1
tesserae/texts/grc/sophocles.ichneutae.tess,1
tesserae/texts/grc/sophocles.oedipus_at_colonus.tess,1
tesserae/texts/grc/sophocles.oedipus_tyrannus.tess,1
tesserae/texts/grc/sophocles.philoctetes.tess,1
tesserae/texts/grc/sophocles.trachiniae.tess,1
tesserae/texts/grc/theocritus.epigrams.tess,1
tesserae/texts/grc/tryphiodorus.the_taking_of_ilios.tess,0
